Key_Words,Group_Code,Weight
bigendered,DSJG,237530
dual gendered,DSJG,37530
bigotry,DSJG,2878410
bisexual,DSJG,567110
categorization,DSJG,587610
classism,DSJG,2078449
coalition,DSJG,24235390
codification,DSJG,17215230
collusion,DSJG,30331010
colonizing,DSJG,5237010
colonialism,DSJG,363660
color blind,DSJG,17599690
contact hypothesis,DSJG,418670
critical race theory,DSJG,52990
cultural appropriation,DSJG,396430
cultural racism,DSJG,4067560
culture,DSJG,1273210
dialogue,DSJG,240020
diaspora,DSJG,127017220
discrimination,DSJG,104460
diversity,DSJG,4068900
domestic partner,DSJG,37730
dominant culture,DSJG,2959130
drag queen,DSJG,625780
drag king,DSJG,625780
first nation people,DSJG,5130
ethnicity,DSJG,34377510
fundamental attribution error,DSJG,27977860
gender,PA,1311050530
gendered,DSJG,2458830
gender bending,DSJG,10220
hate crime,DSJG,28513700
heterosexism,DSJG,16924930
heterosexual,DSJG,263120
homophobia,DSJG,4528530
homosexual,DSJG,6082030
implicit bias,DSJG,19899120
in-group bias,DSJG,182201960
intergroup conflict,DSJG,1610
inclusion,DSJG,55070
indigeneity,DSJG,5210970
individual racism,DSJG,4490540
institutional racism,DSJG,18892487
internalized oppression,DSJG,21290
internalized racism,DSJG,3929140
interpersonal racism,DSJG,7619320
intersectionality,DSJG,6639120
intersex,DSJG,31376670
lesbian,DSJG,10699400
LGBT,DSJG,38611790
LGBTQ,DSJG,10349800
marginalized,DSJG,3683240
model minority,DSJG,2235360
movement building,DSJG,861150
multicultural competency,DSJG,19511320
multiplicity,DSJG,43456920
multiracial,DSJG,11609670
multiethnic,DSJG,3960
naming,DSJG,55570
national origin,DSJG,185000
oppression,DSJG,6290
colored people,DSJG,109460
personal identity,DSJG,193230
polyamory,DSJG,31780
power,DSJG,190340
prejudice,DSJG,31540370
privilege,DSJG,15129270
queer,DSJG,8850980
questioning,DSJG,96470
race,DSJG,1311050530
racial & ethnic identity,DSJG,5603740
racial equity,DSJG,5426260
racial justice,DSJG,2067530
racial reconciliation,DSJG,583590
racism re-fencing,DSJG,10787100
religion,DSJG,54490410
saliency,DSJG,46121700
safe space,DSJG,20715010
sex,DSJG,542980
sexism,DSJG,1286970
sexual orientation,DSJG,9779430
silencing,DSJG,8298660
social identity,DSJG,18502410
social identity development,DSJG,23381040
social justice,DSJG,8481860
social oppression,DSJG,53470420
social self-esteem,DSJG,67959360
social self-view,DSJG,1184770
Spanglish,DSJG,7304580
spotlighting,DSJG,1250
stereotype,DSJG,106170
structural racism,DSJG,1360090
oppression system,DSJG,11253550
tolerance,DSJG,78665830
transgender,DSJG,5373500
transsexual,DSJG,34340
two spirit,DSJG,9920
veteran status,DSJG,39032380
white privilege,DSJG,44823770
structural white privilege,DSJG,9156960
mental health,SESP,23381040
mental illness,SESP,23381040
mental disorder,SESP,67959360
disability,SESP,1311050530
gender role,NEW,77266810
emotional manipulation,NEW,77266810
emotional abuse,NEW,77266810
nationality,NEW,77266810
relationship abuse,NEW,77266810
feminism,NEW,77266810
body,NEW,77266810
catholic,NEW,77266810
spirituality,NEW,77266810
genderqueer,NEW,77266810
social self-view,NEW,77266810
monitoring,NEW,77266810
improvisation,NEW,77266810
misfit,NEW,77266810
American,NEW,77266810
Spanish,NEW,77266810
Jamaican,NEW,77266810
European,NEW,77266810
Chinese,NEW,77266810
Japanese,NEW,77266810
Korean,NEW,77266810
Asian,NEW,77266810
voyeurism,FNew,6639120
assault,FNew,31376670
sexual expression,FNew,10699400
victim blaming,FNew,38611790
antiracism,FNew,10349800
police brutality,FNew,3683240
stress,FNew,2235360
anxiety,FNew,861150
depression,FNew,19511320
loneliness,FNew,43456920
community,FNew,11609670
identity,FNew,3960
immigration,FNew,55570
urban,FNew,185000
decay,FNew,6290
deterioration,FNew,109460
race realism,FNew,193230
neoliberalism,FNew,31780
eugenics,FNew,190340
stigma,FNew,31540370
funding,FNew,15129270
unions,FNew,8850980
trauma,FNew,96470
mental health stigma,FNew,1311050530
emotional dissonance,FNew,5603740
financial abuse,FNew,5426260
waste,FNew,2067530
pollution,FNew,583590
reproductive justice,FNew,10787100
fertility,FNew,54490410
reproductive health,FNew,46121700
parenting,FNew,20715010
